Sigla;Código;Município;1970;1975;1980;1985;1996
BA;2902609;Baixa Grande;336.2314918;1027.174874;2632.553883;3039.850748;5716.797267
BA;2902658;Banzaê;;;;;2499.363792
BA;2902708;Barra;2399.941443;3257.643269;3709.652982;10028.63073;23736.52753
BA;2902807;Barra da Estiva;976.3553786;881.6619976;667.9180835;1489.584396;4085.836919
BA;2902906;Barra do Choça;262.5173741;431.8999836;596.122076;2319.326184;10096.8382
BA;2903003;Barra do Mendes;291.0518713;572.0203427;943.1470993;2200.653334;6866.005861
BA;2903102;Barra do Rocha;496.119791;833.2347475;1174.018862;2968.002153;5512.742476
BA;2903201;Barreiras;3335.302261;12620.47048;40062.93611;85720.32104;156257.8395
BA;2903235;Barro Alto;;;;;1838.829439
BA;2903276;Barrocas;;;;;
BA;2903300;Governador Lomanto Júnior;1241.440857;1814.01688;2223.737373;3181.544725;4099.985156
BA;2903409;Belmonte;5133.926733;4667.458699;3559.903146;8442.933482;15075.91752
BA;2903508;Belo Campo;722.2081237;457.8633218;243.5208897;610.4188624;2951.295212
BA;2903607;Biritinga;83.70119174;135.8611784;185.0060772;667.1141482;4183.636967
BA;2903706;Boa Nova;1882.706124;1981.156715;1748.968581;6184.944551;9381.421507
BA;2903805;Boa Vista do Tupim;347.6452907;728.579408;1280.985801;2198.945452;3230.383115
BA;2903904;Bom Jesus da Lapa;14106.59937;19161.78446;21836.16918;32329.75624;37598.6288
BA;2903953;Bom Jesus da Serra;;;;;1730.40264
BA;2904001;Boninal;842.3383569;1427.267329;2028.85474;3694.032221;6075.412444
BA;2904050;Bonito;;;;;3433.318964
BA;2904100;Boquira;328.1467176;994.6323838;2529.204858;4032.339371;9313.578891
BA;2904209;Botuporã;700.7121358;1047.215163;234.1174159;4486.110316;1361.068309
BA;2904308;Brejões;852.6107758;1655.755765;2697.54449;3339.290914;4180.326881
BA;2904407;Brejolândia;133.1609869;159.2435896;159.7621123;722.8203494;2410.53759
BA;2904506;Brotas de Macaúbas;1353.296086;1210.618777;908.550071;1817.961651;4402.654584
BA;2904605;Brumado;6170.870361;13466.11768;24652.7442;35311.8129;41902.65238
BA;2904704;Buerarema;1853.886282;4709.004947;10034.64664;16748.06183;11208.37872
BA;2904753;Buritirama;;;;;4086.107236
