Código;Município;renda_1970;renda_1980;renda_1991;renda_2000
1600303;Macapá;60,537,335,283,442;176,461,883,768,341;304,194,004,952,083;710,043,442,584,115
1600402;Mazagão;5,816,279,149,721;22,560,772,221,973;5,519,454,493,314;10,294,134,307,835
1600501;Oiapoque;3,641,476,172,209;6,322,325,285,182;9,754,898,573,147;33,996,762,514,756
1600535;Porto Grande;;;;16,548,220,216,272
1600550;Pracuúba;;;;216,907,172,695
1600600;Santana;;;56,318,995,776,458;129,028,179,211,125
1600709;Tartarugalzinho;;;3,508,534,421,888;6,613,490,742,954
1600808;Vitória do Jari;;;;9,105,206,122,748
2900108;Abaíra;2,211,008,777,835;5,749,985,024,145;4,575,714,217,531;9,003,257,055,963
2900207;Abaré;1,303,776,088,815;7,247,278,045,605;6,388,789,675,284;11,016,695,762,975
2900306;Acajutiba;2,350,496,794,453;7,009,553,422,151;6,479,000,927,094;11,016,379,355,032
2900355;Adustina;;;6,014,536,492,762;12,444,274,689,073
2900405;Água Fria;3,121,798,256,635;6,321,810,474,661;4,082,079,889,791;8,622,020,322,726
2900504;Érico Cardoso;1,194,027,860,661;1,861,788,727,675;332,134,235,229;8,956,140,533,724
2900603;Aiquara;1,883,204,206,629;6,277,849,509,379;3,244,458,807,401;4,709,978,956,314
2900702;Alagoinhas;44,992,994,453,644;134,921,165,064,379;123,391,298,338,112;232,793,393,317,975
2900801;Alcobaça;8,976,090,597,138;41,571,372,556,552;8,357,063,382,575;24,336,359,798,832
2900900;Almadina;3,408,951,040,293;5,375,396,522,628;2,988,222,996,263;6,425,561,196,623
2901007;Amargosa;7,337,357,696,798;17,678,207,978,277;16,380,580,652,964;38,073,400,793,023
2901106;Amélia Rodrigues;7,696,477,482,377;15,208,294,505,747;14,335,820,013,974;3,005,312,815,339
2901155;América Dourada;;;7,124,111,697,782;10,077,275,348,371
2901205;Anagé;4,785,612,324,044;15,020,379,256,396;14,020,909,843,483;19,031,879,023,942
2901304;Andaraí;6,743,035,521,777;15,919,498,296,159;7,962,449,443,278;11,795,706,909,078
2901353;Andorinha;;;7,731,780,247,446;11,990,220,575,371
2901403;Angical;2,064,987,093,032;5,697,250,773,555;7,211,314,416,158;10,387,127,892,097
2901502;Anguera;1,905,579,120,603;4,711,642,222,058;269,758,939,421;5,840,089,935,939
2901601;Antas;5,238,223,488,833;1,287,869,490,346;8,410,146,407,187;13,976,775,379,354
2901700;Antônio Cardoso;2,439,851,472,505;608,708,600,025;3,055,253,874,889;9,059,452,355,983
2901809;Antônio Gonçalves;1,986,157,806,478;3,856,526,264,365;5,012,140,126,252;7,005,194,885,177
2901908;Aporá;2,525,398,065,846;7,220,703,696,754;65,221,988,776;1,181,773,088,855
2901957;Apuarema;;;2,698,955,567,703;5,215,058,489,727
2902005;Aracatu;2,515,665,219,897;6,970,359,270,738;4,491,833,401,647;1,065,637,787,549
2902054;Araças;;;3,648,524,614,355;6,486,590,014,461
2902104;Araci;5,501,938,187,658;16,741,726,867,363;14,108,434,400,418;27,811,585,755,422
2902203;Aramari;2,493,850,886,921;5,405,830,830,261;3,360,615,081,461;8,848,473,113,863
2902252;Arataca;;;4,302,670,990,955;7,946,636,054,352
2902302;Aratuípe;2,765,500,706,425;4,204,133,586,784;3,641,816,445,776;6,896,336,231,926
2902401;Aurelino Leal;4,215,076,180,681;18,726,403,420,367;6,091,956,518,184;10,526,618,165,447
2902500;Baianópolis;1,895,826,944,275;3,679,888,456,982;489,484,170,148;9,384,447,958,236
2902609;Baixa Grande;3,371,643,408,353;112,367,118,983;6,721,436,384,158;14,961,339,254,426
2902658;Banzaê;;;4,700,398,747,155;7,466,319,182,585
2902708;Barra;10,919,702,238,902;30,310,581,505,043;12,606,116,324,558;24,624,575,204,507
2902807;Barra da Estiva;2,622,504,225,974;10,493,816,569,338;7,655,874,653,987;23,625,115,587,255
2902906;Barra do Choça;2,803,919,835,171;15,136,004,624,162;12,553,834,604,772;28,903,494,270,238
2903003;Barra do Mendes;3,201,081,807,101;8,209,442,332,065;7,443,105,590,447;12,079,366,434,741
2903102;Barra do Rocha;2,856,914,069,866;6,484,327,060,807;3,382,810,679,297;6,369,933,120,711
2903201;Barreiras;5,043,962,842,629;5,199,575,601,705;116,005,908,081,441;298,636,904,466,682
2903235;Barro Alto;;;527,789,269,718;8,998,352,875,864
2903276;Barrocas;;;;
2903300;Governador Lomanto Júnior;2,403,636,006,993;656,413,120,458;2,693,277,022,207;7,008,519,693,756
2903409;Belmonte;10,938,423,711,199;19,685,523,648,792;11,917,435,336,329;23,144,725,305,612
2903508;Belo Campo;2,655,269,218,791;8,732,517,600,883;7,544,789,540,062;17,325,720,581,931
2903607;Biritinga;2,338,714,928,305;5,748,109,034,891;6,211,591,060,361;11,750,632,094,719
2903706;Boa Nova;7,060,875,282,483;13,814,390,133,038;4,356,565,728,151;11,027,750,526,813
2903805;Boa Vista do Tupim;5,268,330,554,504;9,015,720,290,076;15,573,641,546,198;10,658,123,233,548
2903904;Bom Jesus da Lapa;13,752,926,929,005;45,367,293,211,547;36,699,409,327,896;6,853,848,605,081
2903953;Bom Jesus da Serra;;;3,654,739,487,847;5,246,480,725,496
2904001;Boninal;2,714,159,219,155;4,511,688,292,204;5,696,286,024,661;9,500,827,733,921
2904050;Bonito;;;5,616,742,677,197;9,712,677,224,273
2904100;Boquira;5,925,379,810,169;11,190,290,685,348;7,766,033,821,051;17,781,652,512,512
2904209;Botuporã;4,530,277,344,621;7,708,393,695,135;2,521,132,803,134;6,145,922,444,505
2904308;Brejões;2,545,434,003,931;8,604,277,807,166;6,010,511,516,407;15,763,946,400,361
2904407;Brejolândia;1,459,588,610,704;4,751,770,111,614;4,544,202,274,173;4,725,944,299,809
2904506;Brotas de Macaúbas;2,770,690,913,252;499,676,167,314;5,307,377,629,871;8,192,072,527,011
2904605;Brumado;14,966,140,191,066;48,638,535,471,489;61,453,382,959,961;82,983,168,160,127
2904704;Buerarema;81,106,888,488;29,042,588,405,355;10,374,456,835,982;1,617,309,581,742
2904753;Buritirama;;;3,560,559,679,048;6,956,934,802,698
2904803;Caatiba;2,306,007,926,625;6,722,553,949,357;5,185,312,843,708;10,261,005,965,805
2904852;Cabaceiras do Paraguaçu;;;4,044,813,464,365;10,020,837,447,504
2904902;Cachoeira;1,240,396,607,871;23,762,110,576,653;16,817,683,117,691;36,199,044,700,714
2905008;Caculé;358,143,601,428;8,330,608,297,661;8,260,152,545,532;29,451,744,730,516
2905107;Caém;1,856,441,296,567;5,120,116,367,541;5,500,784,179,727;7,993,347,464,183
2905156;Caetanos;;;3,455,048,892,962;7,971,528,464,164
2905206;Caetité;111,572,725,998;27,894,646,968,594;22,197,243,445,019;49,057,550,853,363
2905305;Cafarnaum;3,619,613,513,285;14,569,963,063,132;5,767,361,328,084;13,710,495,835,816
2905404;Cairu;2,731,198,948,458;8,309,556,624,603;8,016,625,736,362;9,297,510,412,987
2905503;Caldeirão Grande;2,671,342,429,132;8,028,981,754,127;6,421,051,763,151;6,535,429,004,839
2905602;Camacan;12,052,114,515,726;47,023,491,528,639;25,259,327,652,579;33,010,534,309,976
2905701;Camaçari;24,076,402,950,531;124,636,280,469,478;113,344,413,742,566;262,343,812,376,372
2905800;Camamu;10,643,780,405,585;46,156,125,858,455;14,214,461,978,523;26,316,409,612,812
2905909;Campo Alegre de Lourdes;3,385,561,281,408;10,489,808,305,697;18,058,141,285,054;17,493,684,097,871
2906006;Campo Formoso;11,510,873,562,106;44,922,447,187,474;25,628,133,296,787;55,780,128,492,089
2906105;Canápolis;2,060,067,511,514;4,628,693,208,791;2,876,279,695,006;7,825,954,942,473
2906204;Canarana;5,403,971,825,654;19,229,869,740,128;13,371,878,599,426;18,774,868,684,075
2906303;Canavieiras;16,655,721,654,005;48,504,912,345,819;165,546,374,381;42,318,244,898,417
2906402;Candeal;2,816,919,515,212;5,202,478,882,137;4,057,781,856,911;6,981,905,181,433
2906501;Candeias;2,401,741,629,827;6,870,970,596,686;64,724,735,452,468;113,221,269,765,447
2906600;Candiba;3,184,815,292,968;6,089,484,864,943;4,771,123,327,778;8,609,482,767,344
2906709;Cândido Sales;4,223,475,230,462;15,494,556,038,656;12,604,937,740,086;312,115,960,797
2906808;Cansanção;2,953,005,385,084;1,375,025,343,427;16,764,929,955,644;17,748,547,994,813
2906824;Canudos;;;5,336,905,858,483;10,274,283,313,215
2906857;Capela do Alto Alegre;;;9,092,594,137,462;12,699,601,077,098
2906873;Capim Grosso;;;9,296,276,722,555;25,004,120,910,564
2906899;Caraíbas;;;5,844,621,375,424;12,752,034,815,034
2906907;Caravelas;8,103,352,969,877;36,454,487,532,336;10,676,705,198,918;38,092,944,234,429
2907004;Cardeal da Silva;804,627,035,997;2,813,872,764,257;2,918,931,800,187;5,682,067,330,554
2907103;Carinhanha;7,355,586,244,424;16,383,240,420,255;9,281,622,686,453;17,814,183,758,031
2907202;Casa Nova;3,160,526,671,449;16,769,631,031,382;259,089,797,258;49,362,190,313,374
2907301;Castro Alves;13,068,167,574,695;26,956,334,225,469;13,376,703,706,335;20,187,776,422,598
2907400;Catolândia;25,458,109,463;1,697,794,917,604;1,343,339,414,396;1,944,969,383,022
2907509;Catu;13,852,565,368,814;47,838,195,980,535;32,445,981,654,886;64,673,110,858
2907558;Caturama;;;3,662,148,507,936;5,684,975,385,216
2907608;Central;3,531,254,349,764;13,622,096,529,976;7,434,641,460,576;13,656,776,492,545
2907707;Chorrochó;1,966,218,520,289;5,618,275,075,957;564,071,828,151;6,972,535,761,325
2907806;Cícero Dantas;7,765,370,954;2,496,869,023,114;13,924,566,351,514;3,147,959,814,987
