"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Rendimento nominal total (operação: Soma)";"Freqüência";"Observações"
"9115";"Município (1991)";"352650";"Lavínia";"2248";"1991";"8004";"1991";"240.012.058";"5437";"1186"
"9115";"Município (1991)";"313820";"Lavras";"2249";"1991";"8004";"1991";"3.024.096.091";"65893";"6665"
"9115";"Município (1991)";"230750";"Lavras da Mangabeira";"2250";"1991";"8004";"1991";"354.143.564";"30751";"3097"
"9115";"Município (1991)";"431150";"Lavras do Sul";"2251";"1991";"8004";"1991";"390.240.089";"8830";"1778"
"9115";"Município (1991)";"352660";"Lavrinhas";"2252";"1991";"8004";"1991";"186.343.257";"4674";"930"
"9115";"Município (1991)";"313830";"Leandro Ferreira";"2253";"1991";"8004";"1991";"78.033.960";"2928";"741"
"9115";"Município (1991)";"420970";"Lebon Régis";"2254";"1991";"8004";"1991";"257.973.569";"10804";"2374"
"9115";"Município (1991)";"352670";"Leme";"2255";"1991";"8004";"1991";"3.639.187.502";"68215";"6773"
"9115";"Município (1991)";"291930";"Lençóis";"2256";"1991";"8004";"1991";"123.979.047";"7584";"1475"
"9115";"Município (1991)";"352680";"Lençóis Paulista";"2257";"1991";"8004";"1991";"2.821.542.513";"46246";"4424"
"9115";"Município (1991)";"420980";"Leoberto Leal";"2258";"1991";"8004";"1991";"108.546.165";"4268";"822"
"9115";"Município (1991)";"313840";"Leopoldina";"2259";"1991";"8004";"1991";"1.481.146.664";"46442";"5635"
"9115";"Município (1991)";"521230";"Leopoldo de Bulhões";"2260";"1991";"8004";"1991";"210.884.919";"7376";"1550"
"9115";"Município (1991)";"411340";"Leópolis";"2261";"1991";"8004";"1991";"130.196.174";"4761";"865"
"9115";"Município (1991)";"431160";"Liberato Salzano";"2262";"1991";"8004";"1991";"128.311.055";"8662";"1819"
"9115";"Município (1991)";"313850";"Liberdade";"2263";"1991";"8004";"1991";"160.442.034";"6045";"1550"
"9115";"Município (1991)";"291940";"Licínio de Almeida";"2264";"1991";"8004";"1991";"189.290.933";"14089";"3082"
"9115";"Município (1991)";"210600";"Lima Campos";"2265";"1991";"8004";"1991";"175.831.006";"12404";"1322"
"9115";"Município (1991)";"313860";"Lima Duarte";"2266";"1991";"8004";"1991";"387.114.083";"14641";"1610"
"9115";"Município (1991)";"352690";"Limeira";"2267";"1991";"8004";"1991";"12.391.172.315";"207770";"21231"
"9115";"Município (1991)";"260890";"Limoeiro";"2268";"1991";"8004";"1991";"1.017.093.244";"54860";"5551"
"9115";"Município (1991)";"270420";"Limoeiro de Anadia";"2269";"1991";"8004";"1991";"193.255.063";"19447";"2101"
"9115";"Município (1991)";"150400";"Limoeiro do Ajuru";"2270";"1991";"8004";"1991";"227.931.539";"16475";"3308"
"9115";"Município (1991)";"230760";"Limoeiro do Norte";"2271";"1991";"8004";"1991";"749.647.009";"41700";"4278"
"9115";"Município (1991)";"411345";"Lindoeste";"2272";"1991";"8004";"1991";"122.291.290";"6877";"1445"
"9115";"Município (1991)";"352700";"Lindóia";"2273";"1991";"8004";"1991";"237.103.374";"4118";"867"
"9115";"Município (1991)";"420985";"Lindóia do Sul";"2274";"1991";"8004";"1991";"207.361.792";"5278";"1072"
"9115";"Município (1991)";"320320";"Linhares";"2275";"1991";"8004";"1991";"3.701.163.267";"119690";"12577"
"9115";"Município (1991)";"352710";"Lins";"2276";"1991";"8004";"1991";"3.762.441.351";"58606";"5880"
"9115";"Município (1991)";"250850";"Livramento";"2277";"1991";"8004";"1991";"50.241.325";"7029";"1656"
