"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Total de rendimentos brutos (operação: Soma)";"Freqüência";"Observações"
"9035";"Município";"4312138";"Mato Castelhano";"2976";"2000";"8005";"2000";"591.028";"2454";"487"
"9035";"Município";"2509370";"Mato Grosso";"2977";"2000";"8005";"2000";"185.410";"2427";"527"
"9035";"Município";"4312153";"Mato Leitão";"2978";"2000";"8005";"2000";"690.246";"3210";"625"
"9035";"Município";"4115739";"Mato Rico";"2979";"2000";"8005";"2000";"466.154";"4496";"1122"
"9035";"Município";"3141009";"Mato Verde";"2980";"2000";"8005";"2000";"1.436.141";"13185";"2818"
"9035";"Município";"2106607";"Matões";"2981";"2000";"8005";"2000";"1.582.638";"26433";"2961"
"9035";"Município";"2106631";"Matões do Norte";"2982";"2000";"8005";"2000";"306.590";"7435";"1462"
"9035";"Município";"4210704";"Matos Costa";"2983";"2000";"8005";"2000";"538.563";"3204";"661"
"9035";"Município";"3141108";"Matozinhos";"2984";"2000";"8005";"2000";"7.063.040";"30164";"3111"
"9035";"Município";"5212956";"Matrinchã";"2985";"2000";"8005";"2000";"691.986";"4520";"1002"
"9035";"Município";"2705101";"Matriz de Camaragibe";"2986";"2000";"8005";"2000";"1.569.423";"24017";"2488"
"9035";"Município";"5105606";"Matupá";"2987";"2000";"8005";"2000";"2.908.352";"11289";"2476"
"9035";"Município";"2509396";"Maturéia";"2988";"2000";"8005";"2000";"282.617";"5032";"1192"
"9035";"Município";"3141207";"Matutina";"2989";"2000";"8005";"2000";"911.900";"3838";"824"
"9035";"Município";"3529401";"Mauá";"2990";"2000";"8005";"2000";"99.790.824";"363392";"37396"
"9035";"Município";"4115754";"Mauá da Serra";"2991";"2000";"8005";"2000";"1.183.323";"6471";"1369"
"9035";"Município";"1302900";"Maués";"2992";"2000";"8005";"2000";"3.848.185";"40036";"4016"
"9035";"Município";"5213004";"Maurilândia";"2993";"2000";"8005";"2000";"1.604.722";"8969";"1873"
"9035";"Município";"1712801";"Maurilândia do Tocantins";"2994";"2000";"8005";"2000";"165.131";"2854";"508"
"9035";"Município";"2308104";"Mauriti";"2995";"2000";"8005";"2000";"3.579.393";"42399";"4871"
"9035";"Município";"2407500";"Maxaranguape";"2996";"2000";"8005";"2000";"520.469";"8001";"1466"
"9035";"Município";"4312203";"Maximiliano de Almeida";"2997";"2000";"8005";"2000";"976.962";"5651";"980"
"9035";"Município";"1600402";"Mazagão";"2998";"2000";"8005";"2000";"1.042.428";"11986";"2001"
"9035";"Município";"3141306";"Medeiros";"2999";"2000";"8005";"2000";"974.323";"3038";"659"
"9035";"Município";"2921104";"Medeiros Neto";"3000";"2000";"8005";"2000";"2.996.543";"21235";"2067"
"9035";"Município";"4115804";"Medianeira";"3001";"2000";"8005";"2000";"10.486.924";"37827";"3814"
"9035";"Município";"1504455";"Medicilândia";"3002";"2000";"8005";"2000";"4.260.406";"21379";"2084"
"9035";"Município";"3141405";"Medina";"3003";"2000";"8005";"2000";"1.986.894";"21641";"2518"
